Date,AdjClose,Close,High,Low,Open,Volume
1993-01-29,24.175384521484375,43.9375,43.96875,43.75,43.96875,1003200
1993-02-01,24.34732437133789,44.25,44.25,43.96875,43.96875,480500
1993-02-02,24.398908615112305,44.34375,44.375,44.125,44.21875,201300
1993-02-03,24.656822204589844,44.8125,44.84375,44.375,44.40625,529400
1993-02-04,24.75998878479004,45.0,45.09375,44.46875,44.96875,531500
1993-02-05,24.74278450012207,44.96875,45.0625,44.71875,44.96875,492100
1993-02-08,24.74278450012207,44.96875,45.125,44.90625,44.96875,596100
1993-02-09,24.570863723754883,44.65625,44.8125,44.5625,44.8125,122100
1993-02-10,24.605239868164062,44.71875,44.75,44.53125,44.65625,379600
1993-02-11,24.72560691833496,44.9375,45.125,44.78125,44.78125,19500
1993-02-12,24.536462783813477,44.59375,44.875,44.59375,44.875,42500
1993-02-16,23.917465209960938,43.46875,44.46875,43.40625,44.46875,374800
1993-02-17,23.900272369384766,43.4375,43.53125,43.28125,43.46875,210900
1993-02-18,23.883081436157227,43.40625,43.9375,42.8125,43.9375,378100
1993-02-19,23.96905517578125,43.5625,43.5625,43.34375,43.40625,34900
1993-02-22,24.055028915405273,43.71875,43.78125,43.5625,43.6875,513600
1993-02-23,24.03783416748047,43.6875,43.875,43.46875,43.84375,373700
1993-02-24,24.34732437133789,44.25,44.25,43.71875,43.71875,26300
1993-02-25,24.398908615112305,44.34375,44.375,44.125,44.21875,44500
1993-02-26,24.43328857421875,44.40625,44.4375,44.1875,44.4375,66200
1993-03-01,24.364519119262695,44.28125,44.5625,44.21875,44.5625,66500
1993-03-02,24.72560691833496,44.9375,44.9375,44.25,44.3125,182400
1993-03-03,24.828758239746094,45.125,45.15625,44.9375,45.0,280100
1993-03-04,24.69121551513672,44.875,45.1875,44.875,45.1875,89500
1993-03-05,24.62242889404297,44.75,45.125,44.71875,44.9375,40000
1993-03-08,25.17265510559082,45.75,45.75,44.84375,44.84375,50800
1993-03-09,25.086688995361328,45.59375,45.6875,45.5,45.65625,169300
1993-03-10,25.13826560974121,45.6875,45.6875,45.40625,45.59375,194400
1993-03-11,25.069490432739258,45.5625,45.84375,45.5,45.71875,70900
1993-03-12,24.81157684326172,45.09375,45.21875,44.8125,45.1875,643600
1993-03-15,24.931934356689453,45.3125,45.3125,45.0625,45.0625,310800
1993-03-16,24.931934356689453,45.3125,45.4375,45.3125,45.3125,30800
1993-03-17,24.777183532714844,45.03125,45.25,44.96875,45.25,21800
1993-03-18,24.931934356689453,45.3125,45.5,45.21875,45.21875,59300
1993-03-19,24.894207000732422,45.03125,45.28125,45.03125,45.28125,66900
1993-03-22,24.756006240844727,44.78125,44.875,44.5625,44.59375,183400
1993-03-23,24.807825088500977,44.875,44.9375,44.8125,44.90625,55200
1993-03-24,24.807825088500977,44.875,45.0625,44.59375,44.8125,37200
1993-03-25,24.963287353515625,45.15625,45.25,44.84375,44.90625,110100
1993-03-26,24.825105667114258,44.90625,45.15625,44.875,45.125,101500
1993-03-29,24.928756713867188,45.09375,45.3125,44.9375,44.9375,87100
1993-03-30,24.99785614013672,45.21875,45.21875,45.09375,45.15625,56000
1993-03-31,24.98058319091797,45.1875,45.46875,45.1875,45.34375,111600
1993-04-01,24.894207000732422,45.03125,45.25,44.9375,45.25,129500
1993-04-02,24.375930786132812,44.09375,44.65625,44.09375,44.65625,59400
1993-04-05,24.496862411499023,44.3125,44.4375,44.1875,44.4375,172200
1993-04-06,24.42776870727539,44.1875,44.40625,44.0625,44.40625,129700
1993-04-07,24.514135360717773,44.34375,44.34375,44.15625,44.25,28000
1993-04-08,24.479576110839844,44.28125,44.53125,44.09375,44.53125,180800
1993-04-12,24.825105667114258,44.90625,44.9375,44.65625,44.71875,348500
1993-04-13,24.876937866210938,45.0,45.15625,44.84375,44.875,146100
1993-04-14,24.842382431030273,44.9375,45.0625,44.90625,45.03125,119600
1993-04-15,24.842382431030273,44.9375,45.03125,44.75,44.90625,148600
1993-04-16,24.842382431030273,44.9375,45.03125,44.875,44.96875,47900
